Index,Constituency_Name,Seat_Type,BJP,INC,CPI,NPF,Independent,Strong_Party
0,inner_manipur,gen,263632,245877,133813,0,81634,BJP
1,outer_manipur,st,289745,152510,0,363527,0,NPF
