Index,Assembly_Seat,Seat_Type,Constituency_Name,Bhartiya_Janta_Party,Indian_National_Congress,SHS,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party,BJP,INC,,,UBT,Shivsena,NCP,Sharad_Pawar
44,Bhiwandi_Rural,ST,Bhiwandi,,,83567,,,,,,,,,,,,,,,,,,25070.1,0,,,40947.83,17549.07,0,0
45,Shahapur,ST,Bhiwandi,,,60949,,,,,,,,,,,,,,,,,,18284.7,22815.9,,,29865.01,12799.29,15971.13,37265.97
46,Bhiwandi_West,GEN,Bhiwandi,58857,,,,,,,,,,,,,,,,,,43945,,41199.9,0,,,12359.97,5297.13,0,0
47,Bhiwandi_East,GEN,Bhiwandi,,,44223,,,,,,,,,,,,45537,,,,,,13266.9,0,,,21669.27,9286.83,0,0
48,Kalyan_West,GEN,Bhiwandi,,,65486,,,,,,,,,,,,,,,,43209,,19645.8,0,,,32088.14,13752.06,0,0
49,Murbad,GEN,Bhiwandi,174068,,,,,,,,,,,,,,,,,,,BJP,121847.6,0,,,36554.28,15666.12,0,0
50,Buldhana,GEN,Buldhana,,31316,67785,,,41710,,,,,,,,,,,,,,,20335.5,21921.2,,,33214.65,14234.85,2818.44,6576.36
51,Chikhali,GEN,Buldhana,93515,86705,,,,,,,,,,,,,,,,,,,65460.5,60693.5,,,19638.15,8416.35,7803.45,18208.05
52,Sindkhed_Raja,GEN,Buldhana,,,72763,,,,,,,,,,,,,,,,,,21828.9,24510.3,,,35653.87,15280.23,17157.21,40033.49
53,Mehkar,SC,Buldhana,,49836,112038,,,,,,,,,,,,,,,,,SHS,33611.4,34885.2,,,54898.62,23527.98,4485.24,10465.56
54,Khamgaon,GEN,Buldhana,90757,73789,,,,,,,,,,,,,,,,,,,63529.9,51652.3,,,19058.97,8168.13,6641.01,15495.69
55,Jalgaon_(Jamod),GEN,Buldhana,102735,67504,,,,,,,,,,,,,,,,,,,71914.5,47252.8,,,21574.35,9246.15,6075.36,14175.84
56,Rajura,GEN,Chandrapur,51051,60228,,,,,,,,57727,,,,,,,,,,,35735.7,42159.6,,,10720.71,4594.59,5420.52,12647.88
57,Chandrapur,SC,Chandrapur,,,,,,,,,,,,,,,,,,,117570,,0,0,,,0,0,0,0
58,Ballarpur,GEN,Chandrapur,86002,52762,,,,,,,,,,,,,,,,,,,60201.4,36933.4,,,18060.42,7740.18,4748.58,11080.02
59,Warora,GEN,Chandrapur,,63862,53665,,,,,,,,,,,,,,,,,,16099.5,44703.4,,,26295.85,11269.65,5747.58,13411.02
60,Wani,GEN,Chandrapur,67710,,,,,,,,,,,,,,,,,,,,47397,0,,,14219.1,6093.9,0,0
61,Arni,ST,Chandrapur,81599,78446,,,,,,,,,,,,,,,,,,,57119.3,54912.2,,,17135.79,7343.91,7060.14,16473.66
62,Dhule_Rural,GEN,Dhule,111011,125575,,,,,,,,,,,,,,,,,,BJP,77707.7,87902.5,,,23312.31,9990.99,11301.75,26370.75
63,Dhule_City,GEN,Dhule,,,,46679,42432,,,,,,,,,,,,,,43372,,0,0,,,0,0,0,0
64,Sindkheda,GEN,Dhule,113809,,,,,,,,,,,,,,,,,,,BJP,79666.3,21268.2,,,23899.89,10242.81,14887.74,34738.06
65,Malegaon_Central,GEN,Dhule,,78723,,117242,,,,,,,,,,,,,,,,,0,55106.1,,,0,0,7085.07,16531.83
66,Malegaon_Outer,GEN,Dhule,,73568,121252,,,,,,,,,,,,,,,,,SHS,36375.6,51497.6,,,59413.48,25462.92,6621.12,15449.28
67,Baglan,ST,Dhule,94683,,,,,,,,,,,,,,,,,,,BJP,66278.1,18296.7,,,19883.43,8521.47,12807.69,29884.61
68,Nandgaon,GEN,Dindori,,,85275,,,,,,,,,,,,,,,,,,25582.5,21415.8,,,41784.75,17907.75,14991.06,34979.14
69,Kalwan,ST,Dindori,,,,,,,,,,,,,80281,,,,,,,,0,26063.1,,,0,0,18244.17,42569.73
70,Chandwad,GEN,Dindori,101156,74619,,,,,,,,,,,,,,,,,,BJP,70809.2,52233.3,,,21242.76,9104.04,6715.71,15669.99
71,Yevla,GEN,Dindori,,,69712,,,,,,,,,,,,,,,,,NCP,20913.6,37871.1,,,34158.88,14639.52,26509.77,61856.13
72,Niphad,GEN,Dindori,,,78686,,,,,,,,,,,,,,,,,,23605.8,28906.2,,,38556.14,16524.06,20234.34,47213.46
73,Dindori,ST,Dindori,,,63707,,,,,,,,,,,,,,,,,NCP,19112.1,37356,,,31216.43,13378.47,26149.2,61014.8
74,Amgaon,ST,Gadchiroli-Chimur,80845,88265,,,,,,,,,,,,,,,,,,,56591.5,61785.5,,,16977.45,7276.05,7943.85,18535.65
75,Armori,ST,Gadchiroli-Chimur,75077,53410,,,,,,,,,,,,,,,,,,,52553.9,37387,,,15766.17,6756.93,4806.9,11216.1
76,Gadchiroli,ST,Gadchiroli-Chimur,97913,62572,,,,,,,,,,,,,,,,,,BJP,68539.1,43800.4,,,20561.73,8812.17,5631.48,13140.12
77,Aheri,ST,Gadchiroli-Chimur,44555,43022,,,,,,,,,,,,,,,,,,,31188.5,30115.4,,,9356.55,4009.95,12602.73,29406.37
78,Bramhapuri,GEN,Gadchiroli-Chimur,,96726,78177,,,,,,,,,,,,,,,,,INC,23453.1,67708.2,,,38306.73,16417.17,8705.34,20312.46
79,Chimur,GEN,Gadchiroli-Chimur,87146,77394,,,,,,,,,,,,,,,,,,,61002.2,54175.8,,,18300.66,7843.14,6965.46,16252.74
80,Shahuwadi,GEN,Hatkanangle,,,97005,,,,,,,,,,,,,,,124868,,JSS,29101.5,0,,,47532.45,20371.05,0,0
81,Hatkanangle,SC,Hatkanangle,,73720,66950,,,,,,,,,,,,,,,,,,20085,51604,,,32805.5,14059.5,6634.8,15481.2
82,Ichalkaranji,GEN,Hatkanangle,67076,,,,,,,,,,,,,,,,,,116886,,46953.2,0,,,14085.96,6036.84,0,0
83,Shirol,GEN,Hatkanangle,,,,,,,,,,,,,,,,,,,90038,,0,0,,,0,0,0,0
84,Islampur,GEN,Hatkanangle,,,,,,,,,,,,,,,,,,,,NCP,0,34668.9,,,0,0,24268.23,56625.87
85,Shirala,GEN,Hatkanangle,76002,,,,,,,,,,,,,,,,,,,,53201.4,30579.9,,,15960.42,6840.18,21405.93,49947.17
86,Umarkhed,SC,Hingoli,87337,78050,,,,,,,,,,,,,,,,,,,61135.9,54635,,,18340.77,7860.33,7024.5,16390.5
87,Kinwat,GEN,Hingoli,89628,,,,,,,,,,,,,,,,,,,,62739.6,22906.8,,,18821.88,8066.52,16034.76,37414.44
88,Hadgaon,GEN,Hingoli,,74325,,,,,,,,,,,,,,,,,60962,,0,52027.5,,,0,0,6689.25,15608.25
89,Basmath,GEN,Hingoli,,,,,,,,,,,,,,,,,,,67070,,0,22596.3,,,0,0,15817.41,36907.29
90,Kalamnuri,GEN,Hingoli,,57544,82515,,,66137,,,,,,,,,,,,,,,24754.5,40280.8,,,40432.35,17328.15,5178.96,12084.24
91,Hingoli,GEN,Hingoli,95318,71253,,,,,,,,,,,,,,,,,,,66722.6,49877.1,,,20016.78,8578.62,6412.77,14963.13
92,Jalgaon_City,GEN,Jalgaon,113310,,,,,,,,,,,,,,,,,,,BJP,79317,0,,,23795.1,10197.9,0,0
93,Jalgaon_Rural,GEN,Jalgaon,,,105795,,,,,,,,,,,,,,,,59066,SHS,31738.5,0,,,51839.55,22216.95,0,0
94,Amalner,GEN,Jalgaon,85163,,,,,,,,,,,,,,,,,,,NCP,59614.1,28127.1,,,17884.23,7664.67,19688.97,45940.93
95,Erandol,GEN,Jalgaon,,,82650,,,,,,,,,,,,,,,,,,24795,19394.4,,,40498.5,17356.5,13576.08,31677.52
96,Chalisgaon,GEN,Jalgaon,86515,,,,,,,,,,,,,,,,,,,,60560.5,24668.4,,,18168.15,7786.35,17267.88,40291.72
97,Pachora,GEN,Jalgaon,,,75699,,,,,,,,,,,,,,,,73615,,22709.7,0,,,37092.51,15896.79,0,0
98,Jalna,GEN,Jalna,,91294,66049,,,,,,,,,,,,,,,,,,19814.7,63905.8,,,32364.01,13870.29,8216.46,19171.74
99,Badnapur,SC,Jalna,105312,,,,,,,,,,,,,,,,,,,BJP,73718.4,26010,,,22115.52,9478.08,18207,42483
100,Bhokardan,GEN,Jalna,118539,,,,,,,,,,,,,,,,,,,BJP,82977.3,25814.7,,,24893.19,10668.51,18070.29,42164.01
101,Sillod,GEN,Jalna,,,123383,,,,,,,,,,,,,,,,99002,SHS,37014.9,0,,,60457.67,25910.43,0,0
102,Paithan,GEN,Jalna,,,83403,,,,,,,,,,,,,,,,,,25020.9,20779.2,,,40867.47,17514.63,14545.44,33939.36
103,Ambernath,SC,Kalyan,,,60083,,,,,,,,,,,,,,,,,,18024.9,0,,,29440.67,12617.43,0,0
104,Ulhasnagar,GEN,Kalyan,43666,,,,,,,,,,,,,,,,,,,,30566.2,12498.6,,,9169.86,3929.94,8749.02,20414.38
105,Kalyan_East,GEN,Kalyan,60332,,,,,,,,,,,,,,,,,,48075,,42232.4,0,,,12669.72,5429.88,0,0
106,Dombivali,GEN,Kalyan,86227,,,,,,,,,,,,,,,44916,,,,,60358.9,0,,,18107.67,7760.43,0,0
107,Kalyan_Rural,GEN,Kalyan,,,86773,,,,,,,,,,,,,93927,,,,,26031.9,0,,,42518.77,18222.33,0,0
108,Mumbra-Kalwa,GEN,Kalyan,,,,,,,,,,,,,,,,,,,,NCP,0,32784.9,,,0,0,22949.43,53548.67
109,Chandgad,GEN,Kolhapur,,,,,,43973,,,,,,,,,,,,,51173,,0,16667.4,,,0,0,11667.18,27223.42
110,Radhanagari,GEN,Kolhapur,,,105881,,,,,,,,,,,,,,,,,,31764.3,26235.3,,,51881.69,22235.01,18364.71,42850.99
111,Kagal,GEN,Kolhapur,,,,,,,,,,,,,,,,,,,88303,,0,34930.8,,,0,0,24451.56,57053.64
112,Kolhapur_South,GEN,Kolhapur,97394,140103,,,,,,,,,,,,,,,,,,INC,68175.8,98072.1,,,20452.74,8765.46,12609.27,29421.63
113,Karvir,GEN,Kolhapur,,135675,113014,,,,,,,,,,,,,,,,,INC,33904.2,94972.5,,,55376.86,23732.94,12210.75,28491.75
114,Kolhapur_North,GEN,Kolhapur,78025,97332,,,,,,,,,,,,,,,,,,INC,54617.5,68132.4,,,16385.25,7022.25,8759.88,20439.72
115,Loha,GEN,Latur,,,,,,,,,,,101668,,,,,,,,,PWPI,0,0,,,0,0,0,0
116,Latur_Rural,GEN,Latur,,135006,,,,,,,,,,,,,,,,,,INC,0,94504.2,,,0,0,12150.54,28351.26
117,Latur_City,GEN,Latur,70741,111156,,,,,,,,,,,,,,,,,,INC,49518.7,77809.2,,,14855.61,6366.69,10004.04,23342.76
118,Ahmedpur,GEN,Latur,55445,,,,,,,,,,,,,,,,,,,,38811.5,25390.8,,,11643.45,4990.05,17773.56,41471.64
119,Udgir,SC,Latur,75787,,,,,,,,,,,,,,,,,,,NCP,53050.9,28909.8,,,15915.27,6820.83,20236.86,47219.34
120,Nilanga,GEN,Latur,97324,65193,,,,,,,,,,,,,,,,,,,68126.8,45635.1,,,20438.04,8759.16,5867.37,13690.53
121,Karmala,GEN,Madha,,,,,,,,,,,,,,,,,,,78822,,0,0,,,0,0,0,0
122,Madha,GEN,Madha,,,74328,,,,,,,,,,,,,,,,,NCP,22298.4,42771.9,,,36420.72,15608.88,29940.33,69860.77
123,Sangola,GEN,Madha,,,99464,,,,,,,,98696,,,,,,,,,,29839.2,0,,,48737.36,20887.44,0,0
124,Malshiras,SC,Madha,103507,,,,,,,,,,,,,,,,,,,,72454.9,30275.1,,,21736.47,9315.63,21192.57,49449.33
125,Phaltan,SC,Madha,86636,,,,,,,,,,,,,,,,,,,NCP,60645.2,35285.1,,,18193.56,7797.24,24699.57,57632.33
126,Panvel,GEN,Maval,197109,,,,,,,,,,86379,,,,,,,,,BJP,137976.3,0,,,41392.89,17739.81,0,0
127,Karjat,GEN,Maval,,,102208,,,,,,,,,,,,,,,,,SHS,30662.4,25248.6,,,50081.92,21463.68,17674.02,41239.38
128,Uran,GEN,Maval,,,68839,,,,,,,,,,,,,,,,74549,,20651.7,0,,,33731.11,14456.19,0,0
129,Maval,GEN,Maval,73770,,,,,,,,,,,,,,,,,,,NCP,51639,50313.6,,,15491.7,6639.3,35219.52,82178.88
130,Chinchwad,GEN,Maval,135603,,,,,,,,,,,,,,,,,,,,94922.1,29830.5,,,28476.63,12204.27,20881.35,48723.15
131,Pimpri,SC,Maval,,,67177,,,,,,,,,,,,,,,,,,20153.1,26095.5,,,32916.73,14107.17,18266.85,42622.65
132,Borivali,GEN,Mumbai_North,123712,,,,,,,,,,,,,,,,,,,BJP,86598.4,0,,,25979.52,11134.08,0,0
133,Dahisar,GEN,Mumbai_North,87607,,,,,,,,,,,,,,,,,,,BJP,61324.9,0,,,18397.47,7884.63,0,0
134,Magathane,GEN,Mumbai_North,,,90206,,,,,,,,,,,,,41060,,,,SHS,27061.8,0,,,44200.94,18943.26,0,0
135,Kandivali_East,GEN,Mumbai_North,85152,,,,,,,,,,,,,,,,,,,BJP,59606.4,0,,,17881.92,7663.68,0,0
136,Charkop,GEN,Mumbai_North,108202,,,,,,,,,,,,,,,,,,,BJP,75741.4,0,,,22722.42,9738.18,0,0
137,Malad_West,GEN,Mumbai_North,,79514,,,,,,,,,,,,,,,,,,INC,0,55659.8,,,0,0,7156.26,16697.94
138,Vile_Parle,GEN,Mumbai_North_Central,84991,,,,,,,,,,,,,,,,,,,BJP,59493.7,0,,,17848.11,7649.19,0,0
139,Chandivali,GEN,Mumbai_North_Central,,85470,85879,,,,,,,,,,,,,,,,,,25763.7,59829,,,42080.71,18034.59,7692.3,17948.7
