Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,BSP,SP,BADP,GGP,Independent,Strong_Party
101,Jabalpur West,GEN,Jabalpur,96268,66134,,,,,,BJP
102,Panagar,GEN,Jabalpur,119071,78530,,,,,,BJP
103,Sihora,ST,Jabalpur,101777,59005,,,,,,BJP
104,Chandla,SC,Khajuraho,69668,54177,,,,,,
105,Rajnagar,GEN,Khajuraho,69698,63831,32195,,,,,
106,Pawai,GEN,Khajuraho,106411,84368,,,,,,
107,Gunnour,SC,Khajuraho,77196,76036,,,,,,
108,Panna,GEN,Khajuraho,96668,78758,,,,,,BJP
109,Vijayraghavgarh,GEN,Khajuraho,98010,73664,,,,,,BJP
110,Mudwara,GEN,Khajuraho,89652,64749,,,,,,BJP
111,Bahoriband,GEN,Khajuraho,94817,71195,,,,,,
112,Bagli,ST,Khandwa,105320,97541,,,,,,BJP
113,Mandhata,GEN,Khandwa,80880,80291,,,,,,
114,Khandwa,SC,Khandwa,109067,71018,,,,,,BJP
115,Pandhana,ST,Khandwa,123332,94516,,,,,,BJP
116,Nepanagar,ST,Khandwa,113400,68595,,,,,,BJP
117,Burhanpur,GEN,Khandwa,100397,69226,,,,,,
118,Bhikangaon,ST,Khandwa,91532,92135,,,,,,
119,Badwaha,GEN,Khandwa,90467,84968,,,,,,
120,Maheshwar,SC,Khargone,94383,88464,,,,,,BJP
121,Kasrawad,GEN,Khargone,97089,102761,,,,,,INC
122,Khargone,GEN,Khargone,101683,87918,,,,,,BJP
123,Bhagwanpura,ST,Khargone,86876,99043,,,,,,
124,Sendhwa,ST,Khargone,104459,106136,,,,,,
125,Rajpur,ST,Khargone,99443,100333,,,,,,
126,Pansemal,ST,Khargone,97181,83739,,,,,,
127,Barwani,ST,Khargone,90025,101197,,,,,,INC
128,Shahpura,ST,Mandla,84844,79227,,,,40860,,
129,Dindori,ST,Mandla,81681,93946,,,,,,
130,Bichhiya,ST,Mandla,78157,89222,,,,39115,,
131,Niwas,ST,Mandla,89921,99644,,,,,,
132,Mandla,ST,Mandla,113135,97188,,,,,,BJP
133,Keolari,GEN,Mandla,89054,122814,,,,,,INC
134,Lakhanadon,ST,Mandla,95898,114519,,,,,,
135,Gotegaon,SC,Mandla,91375,43949,,,,,,BJP
136,Jaora,GEN,Mandsour,92019,65998,,,,,40766,
137,Mandsour,GEN,Mandsour,103267,105316,,,,,,
138,Malhargarh,SC,Mandsour,115498,,,,,,56474,BJP
139,Suwasra,GEN,Mandsour,124295,101626,,,,,,BJP
140,Garoth,GEN,Mandsour,108602,9049,,,,,,BJP
141,Manasa,GEN,Mandsour,90980,71993,,,,,,BJP
142,Neemuch,GEN,Mandsour,105290,79007,,,,,,BJP
143,Jawad,GEN,Mandsour,60458,58094,,,,,36151,
144,Sheopur,GEN,Morena,85714,96844,,,,,,
145,Vijaypur,GEN,Morena,51587,69646,,,,,44128,
146,Sabalagadh,GEN,Morena,66787,56982,51153,,,,,
147,Jaura,GEN,Morena,58972,89253,37038,,,,,
148,Sumaoli,GEN,Morena,72508,55289,56500,,,,,
149,Morena,GEN,Morena,53824,73695,37167,,,,,
150,Dimani,GEN,Morena,79137,,54676,,,,,
151,Ambah,SC,Morena,57746,80373,,,,,,INC
152,Chachoda,GEN,Rajgarh,110254,48684,,,,,,BJP
153,Raghogarh,GEN,Rajgarh,91233,95738,,,,,,
154,Narsinghgarh,GEN,Rajgarh,113084,81169,,,,,,BJP
155,Biaora,GEN,Rajgarh,117846,81635,,,,,,BJP
156,Rajgarh,GEN,Rajgarh,104032,81493,,,,,,BJP
157,Khilchipur,GEN,Rajgarh,105694,92016,,,,,,BJP
158,Sarangpur,SC,Rajgarh,97095,74041,,,,,,BJP
159,Susner,GEN,Rajgarh,84939,97584,,,,,,
160,Alirajpur,ST,Ratlam,83764,80041,,,,,,
161,Jobat,ST,Ratlam,42027,80784,,,,,,
162,Jhabua,ST,Ratlam,87458,103151,,,,,,
163,Thandla,ST,Ratlam,103857,105197,,,,,,
164,Petlawad,ST,Ratlam,101512,95865,,,,,,
165,Ratlam Rural,ST,Ratlam,102968,68644,,,,,,BJP
166,Ratlam City,GEN,Ratlam,109656,48948,,,,,,BJP
167,Sailana,ST,Ratlam,41584,66601,,,71219,,,
168,Sirmour,GEN,Rewa,54875,35560,41085,,,,,
169,Semariya,GEN,Rewa,55387,56024,44158,,,,,
170,Teonthar,GEN,Rewa,61082,56336,,,,,,
171,Mauganj,GEN,Rewa,70119,62945,,,,,,
172,Deotalab,GEN,Rewa,63722,39336,30251,,,,,
173,Mangawan,SC,Rewa,78754,46842,,,,,,BJP
174,Rewa,GEN,Rewa,77680,56341,,,,,,BJP
175,Gurh,GEN,Rewa,68715,66222,,,,,,
176,Bina,SC,Sagar,66303,72458,,,,,,INC
177,Khurai,GEN,Sagar,106436,59111,,,,,,BJP
178,Surkhi,GEN,Sagar,83551,81373,,,,,,
179,Naryawali,SC,Sagar,88202,73790,,,,,,BJP
180,Sagar,GEN,Sagar,74769,59748,,,,,,BJP
181,Kurwai,SC,Sagar,102343,76274,,,,,,BJP
182,Sironj,GEN,Sagar,97995,70313,,,,,,BJP
183,Shamshabad,GEN,Sagar,87234,67970,,,,,,BJP
184,Chitrakoot,GEN,Satna,58009,51339,31797,,,,,
185,Raigaon,SC,Satna,77626,41566,,,,,,
186,Satna,GEN,Satna,66597,70638,33567,,,,,
187,Nagod,GEN,Satna,70712,50282,53343,,,,,
188,Maihar,GEN,Satna,76870,55476,30732,,,,,
189,Amarpatan,GEN,Satna,74459,80949,,,,,,
190,Rampur Baghelan,GEN,Satna,85287,62706,38113,,,,,
191,Jaisinghnagar,ST,Shahdol,114967,77016,,,,,,BJP
192,Jaitpur,ST,Shahdol,107698,75993,,,,,,BJP
193,Kotama,GEN,Shahdol,65818,43030,,,,,,BJP
194,Anuppur,ST,Shahdol,77110,56691,,,,,,BJP
195,Pusprajgarh,ST,Shahdol,63534,68020,,,,,,
196,Bandhavgarh,ST,Shahdol,89954,66243,,,,,,
197,Manpur,ST,Shahdol,86089,60824,,,,,,
198,Badwara,ST,Shahdol,112916,61923,,,,,,BJP
199,Churhat,GEN,Sidhi,69740,97517,,,,,,INC
200,Sidhi,GEN,Sidhi,88664,53246,,,,,,BJP
201,Sihawal,GEN,Sidhi,87085,70607,,,,,,
202,Chitrangi,ST,Sidhi,105410,45531,,,,,,BJP
203,Singarouli,GEN,Sidhi,744669,36692,,,,,,
204,Devsar,SC,Sidhi,88660,66206,,,,,,
205,Dhouhani,ST,Sidhi,82063,78742,,,,,,
206,Beohari,ST,Sidhi,102816,76334,,,,,,
207,Tikamgarh,GEN,Tikamgarh,74279,83397,,,,,,
208,Jatara,SC,Tikamgarh,75943,64727,,,,,,
209,Prithvipur,GEN,Tikamgarh,83908,85739,,,,,,
210,Niwari,GEN,Tikamgarh,54186,37029,,32670,,,,
211,Khargapur,GEN,Tikamgarh,75622,83739,,,,,,
212,Maharajpur,GEN,Tikamgarh,76969,50352,,,,,,
213,Chhatarpur,GEN,Tikamgarh,77687,70720,,,,,,
214,Bijawar,GEN,Tikamgarh,88223,55761,,,,,,BJP
215,Nagada - Khacharod,GEN,Ujjain,93552,77625,,,,,,BJP
216,Mahidpur,GEN,Ujjain,75164,75454,,,,,,
217,Tarana,SC,Ujjain,73636,75819,,,,,,
218,Ghatiya,SC,Ujjain,96236,78570,,,,,,BJP
219,Ujjain North,GEN,Ujjain,93535,66022,,,,,,BJP
220,Ujjain South,GEN,Ujjain,95699,82758,,,,,,BJP
221,Badnagar,GEN,Ujjain,80728,44035,,,,,31005,
222,Alote,SC,Ujjain,106762,33565,,,,,37878,BJP
223,Bhojpur,GEN,Vidisha,119289,78510,,,,,,
224,Sanchi,SC,Vidisha,122960,78687,,,,,,BJP
225,Silwani,GEN,Vidisha,84481,95935,,,,,,INC
226,Vidisha,GEN,Vidisha,99246,72436,,,,,,BJP
227,Basoda,GEN,Vidisha,98722,71055,,,,,,BJP
228,Budhni,GEN,Vidisha,164951,59977,,,,,,BJP
229,Ichhawar,GEN,Vidisha,103205,86859,,,,,,BJP
230,Khategaon,GEN,Vidisha,98629,86087,,,,,,BJP
