Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,IUML,CPM,INL,CPI,KEC,KEC(M),C(S),LJD,RCP,RMPOI,NCP,INL,NSC,LDF,JD(S),CMPKSC,TTP,KC(J),KC(M),KJ(S),KEC(B),JKC,Independent,Strong_Party
62,Eravipuram,GEN,Kollam,,,,71573,,,,,,,43452,,,,,,,,,,,,,,,CPM
63,Chathannoor,GEN,Kollam,42090,34280,,,,59296,,,,,,,,,,,,,,,,,,,,
64,Piravom,GEN,Kottayam,,,,,,,,,,,,,,,,,,,,85056,59692,,,,,KC(J)
65,Pala,GEN,Kottayam,,,,,,,,54426,,,,,,,,,,,,,,,,,69804,
66,Kaduthuruthy,GEN,Kottayam,,,,,,,59666,55410,,,,,,,,,,,,,,,,,,
67,Vaikom,SC,Kottayam,,42266,,,,71388,,,,,,,,,,,,,,,,,,,,CPI
68,Ettumanoor,GEN,Kottayam,,,,58289,,,43986,,,,,,,,,,,,,,,,,,,
69,Kottayam,GEN,Kottayam,,65401,,46658,,,,,,,,,,,,,,,,,,,,,,INC
70,Puthuppally,GEN,Kottayam,,80144,,42425,,,,,,,,,,,,,,,,,,,,,,INC
71,Balussery,SC,Kozhikode,,71467,,91839,,,,,,,,,,,,,,,,,,,,,,CPM
72,Elathur,GEN,Kozhikode,32010,,,,,,,,,,,,83639,,,,,,,,,,,,45137,NCP
73,Kozhikode North,GEN,Kozhikode,30952,46196,,59124,,,,,,,,,,,,,,,,,,,,,,
74,Kozhikode South,GEN,Kozhikode,24873,,40098,,,,,,,,,,,52557,,,,,,,,,,,,
75,Beypore,GEN,Kozhikode,,53418,,82165,,,,,,,,,,,,,,,,,,,,,,
76,Kunnamangalam,GEN,Kozhikode,,,,,,,,,,,,,,,,,,,,,,,,,85138,
77,Koduvally,GEN,Kozhikode,,,72336,,,,,,,,,,,,,,,,,,,,,,65992,
78,Kondotty,GEN,Malappuram,,,82759,,,,,,,,,,,,,,,,,,,,,,65093,IUML
79,Manjeri,GEN,Malappuram,,,78836,,,64263,,,,,,,,,,,,,,,,,,,,IUML
80,Perinthalmanna,GEN,Malappuram,,,76530,,,,,,,,,,,,,,,,,,,,,,76492,
81,Mankada,GEN,Malappuram,,,83231,76985,,,,,,,,,,,,,,,,,,,,,,
82,Malappuram,GEN,Malappuram,,,93166,57958,,,,,,,,,,,,,,,,,,,,,,IUML
83,Vengara,GEN,Malappuram,,,70381,39785,,,,,,,,,,,,,,,,,,,,,,IUML
84,Vallikkunnu,GEN,Malappuram,,,71823,,,,,,,,,,,57707,,,,,,,,,,,,
85,Changanassery,GEN,Mavelikkara,,,,,,,49366,55425,,,,,,,,,,,,,,,,,,
86,Kuttanad,GEN,Mavelikkara,,,,,,,51863,,,,,,57379,,,,,,,,,,,,,
87,Mavelikara,SC,Mavelikkara,,47026,,71743,,,,,,,,,,,,,,,,,,,,,,
88,Chengannur,GEN,Mavelikkara,34620,39620,,71502,,,,,,,,,,,,,,,,,,,,,,
89,Kunnathur,SC,Mavelikkara,,,,,,,,,,,66646,,,,,,,,,,,,,,69436,
90,Kottarakkara,GEN,Mavelikkara,,57956,,68770,,,,,,,,,,,,,,,,,,,,,,
91,Pathanapuram,GEN,Mavelikkara,,52940,,,,,,,,,,,,,,,,,,,,,67276,,,
92,Pattambi,GEN,Palakad,,57337,,,,75311,,,,,,,,,,,,,,,,,,,,
93,Shornur,GEN,Palakad,36973,37726,,74400,,,,,,,,,,,,,,,,,,,,,,
94,Ottapalam,GEN,Palakad,,59707,,74859,,,,,,,,,,,,,,,,,,,,,,
95,Kongad,SC,Palakad,,,40662,67881,,,,,,,,,,,,,,,,,,,,,,
96,Mannarkkad,GEN,Palakad,,,71657,,,65787,,,,,,,,,,,,,,,,,,,,
97,Malampuzha,GEN,Palakad,50200,35444,,75934,,,,,,,,,,,,,,,,,,,,,,
98,Palakkad,GEN,Palakad,50220,54079,,36433,,,,,,,,,,,,,,,,,,,,,,
99,Kanjirappally,GEN,Pathanamthitta,,46596,,,,,,60299,,,,,,,,,,,,,,,,,,
100,Poonjar,GEN,Pathanamthitta,,34633,,,,,,58668,,,,,,,,,,,,,,41851,,,,
101,Thiruvalla,GEN,Pathanamthitta,,,,,,,50757,,,,,,,,,,62178,,,,,,,,,
102,Ranni,GEN,Pathanamthitta,,51384,,,,,,52669,,,,,,,,,,,,,,,,,,
103,Aranmula,GEN,Pathanamthitta,,55947,,74950,,,,,,,,,,,,,,,,,,,,,,
104,Konni,GEN,Pathanamthitta,32811,53810,,62318,,,,,,,,,,,,,,,,,,,,,,
105,Adoor,SC,Pathanamthitta,,63650,,,,66569,,,,,,,,,,,,,,,,,,,,
106,Tirurangadi,GEN,Ponnani,,,73499,,,,,,,,,,,,,,,,,,,,,,63921,
107,Tanur,GEN,Ponnani,,,69719,,,,,,,,,,,,70704,,,,,,,,,,,
108,Tirur,GEN,Ponnani,,,82314,75100,,,,,,,,,,,,,,,,,,,,,,
109,Kottakkal,GEN,Ponnani,,,81700,,,,,,,,,,65112,,,,,,,,,,,,,IUML
110,Thavanur,GEN,Ponnani,,67794,,,,,,,,,,,,,,69358,,,,,,,,,,
111,Ponnani,GEN,Ponnani,,57625,,74668,,,,,,,,,,,,,,,,,,,,,,CPM
112,Thrithala,GEN,Ponnani,,66798,,69814,,,,,,,,,,,,,,,,,,,,,,
113,Kazhakkoottam,GEN,Thiruvananthapuram,40193,32995,,63690,,,,,,,,,,,,,,,,,,,,,,
114,Vattiyoorkavu,GEN,Thiruvananthapuram,39596,35455,,61111,,,,,,,,,,,,,,,,,,,,,,
115,Thiruvananthapuram,GEN,Thiruvananthapuram,34996,41659,,,,,,,,,,,,,,,,,,,,,,48748,,
116,Nemom,GEN,Thiruvananthapuram,51888,36524,,55837,,,,,,,,,,,,,,,,,,,,,,
117,Parassala,GEN,Thiruvananthapuram,,52720,,78548,,,,,,,,,,,,,,,,,,,,,,
118,Kovalam,GEN,Thiruvananthapuram,,74868,,,,,,,,,,,,,,,63306,,,,,,,,,
119,Neyyattinkara,GEN,Thiruvananthapuram,,51235,,65497,,,,,,,,,,,,,,,,,,,,,,
120,Guruvayur,GEN,Thrissur,,,58804,77072,,,,,,,,,,,,,,,,,,,,,,CPM
121,Manalur,GEN,Thrissur,,48461,,78337,,,,,,,,,,,,,,,,,,,,,,
122,Ollur,GEN,Thrissur,,58418,,,,71666,,,,,,,,,,,,,,,,,,,,
123,Thrissur,GEN,Thrissur,40457,43317,,,,44263,,,,,,,,,,,,,,,,,,,,
