Index,Assembly_Seat,Seat_Type,Constituency_Name,INC,SP,BSP,AD(K),AD,NCP,RLD,SBSP,NINSHAD,JDL,AAP,AIMIM,VIP,PMSP,JANADIP,Independent,Strong_Party,BJP
15,Khatauli,GEN,Muzaffarnagar,,,31412,,,,84306,,,,,,,,,,,100651
44,Sardhana,GEN,Muzaffarnagar,,118573,,,,,,,,,,,,,,,,100373
17,Najibabad,GEN,Nagina,,102675,44727,,,,,,,,,,,,,,,78905
18,Nagina,SC,Nagina,,97155,40164,,,,,,,,,,,,,,,70704
20,Dhampur,GEN,Nagina,,81588,38993,,,,,,,,,,,,,,,81791
21,Nehtaur,SC,Nagina,,,38020,,,,77677,,,,,,,,,,,77935
24,Noorpur,GEN,Nagina,,92574,31300,,,,,,,,,,,,,,,86509
254,Phaphamau,GEN,Phulpur,,76862,27286,,,,,,,,,,,,,,,91186
255,Soraon,SC,Phulpur,,91474,29250,,85884,,,,,,,,,,,,,
256,Phulpur,GEN,Phulpur,,103557,33036,,,,,,,,,,,,,,,103557
261,Allahabad West,GEN,Phulpur,,88826,,,,,,,,,,,,,,,BJP,118759
262,Allahabad North,GEN,Phulpur,23571,42007,,,,,,,,,,,,,,,BJP,96890
118,Baheri,GEN,Pilibhit,,124145,,,,,,,,,,,,,,,,120790
127,Pilibhit,GEN,Pilibhit,,118536,,,,,,,,,,,,,,,,125506
128,Barkhera,GEN,Pilibhit,,70299,,,,,,,,,,,,,,,BJP,151771
129,Puranpur,SC,Pilibhit,,107828,,,,,,,,,,,,,,,BJP,134404
130,Bisalpur,GEN,Pilibhit,,70733,35983,,,,,,,,,,,,,,BJP,121142
244,Rampur Khas,GEN,Pratapgarh,84334,,,,,,,,,,,,,,,,INC,69593
247,Vishwanath Ganj,GEN,Pratapgarh,,38777,,,86829,,,,,,,,,,20271,38777,,
248,Pratapgarh,GEN,Pratapgarh,,,,,64699,,,,,,,,,,,,,89762
249,Patti,GEN,Pratapgarh,,108070,,,,,,,,,,,,,,,,86019
250,Raniganj,GEN,Pratapgarh,,75583,,,21411,,,,,,,,,,,,,72934
259,Meja,GEN,Prayagraj,,78555,22933,,,,,,,,,,,,,,,75116
260,Karachhana,GEN,Prayagraj,,80199,21950,,,,,,,,,,,,,,,89527
263,Allahabad South,GEN,Prayagraj,,71682,,,,,,,,,,,,,,,BJP,97864
264,Bara,SC,Prayagraj,,76679,22719,,89203,,,,,,,,,,,,,
265,Koraon,SC,Prayagraj,,60100,26383,,,,,,,,,,,,,,,84587
177,Bachhrawan,SC,Rae Bareli,56835,65747,,,62935,,,,,,,,,,,,,
179,Harchandpur,GEN,Rae Bareli,,92498,,,,,,,,,,,,,,,,78009
180,Rae Bareli,GEN,Rae Bareli,,95254,,,,,,,,,,,,,,,,102429
182,Sareni,GEN,Rae Bareli,42702,66166,38155,,,,,,,,,,,,,,,62359
183,Unchahar,GEN,Rae Bareli,,82514,34692,,,,,,,,,,,,,,,75893
34,Suar,GEN,Rampur,,126162,,,,,,,,,,,,,,,,
35,Chamraua,GEN,Rampur,,100976,,,,,,,,,,,,,,,SP,66686
36,Bilaspur,GEN,Rampur,,101691,,,,,,,,,,,,,,,,101998
37,Rampur,GEN,Rampur,,131225,,,,,,,,,,,,,,,SP,76084
38,Milak,SC,Rampur,,92036,,,,,,,,,,,,,,,,97948
383,Chakia,SC,Robertsganj,,88561,44530,,,,,,,,,,,,,,,97812
400,Ghorawal,GEN,Robertsganj,,77355,46941,,,,,,,,,,,,,,,101277
401,Robertsganj,GEN,Robertsganj,,78875,32887,,,,,,,,,,,,,,,84496
402,Obra,GEN,Robertsganj,,51922,20131,,,,,,,,,,,,,,,78364
403,Duddhi,SC,Robertsganj,,78110,23879,,,,,,,,,,,,,,,84407
1,Behat,GEN,Saharanpur,,134513,45075,,,,,,,,,,,,,,,96633
3,Saharanpur Nagar,GEN,Saharanpur,,135761,,,,,,,,,,,,,,,,143195
4,Saharanpur,GEN,Saharanpur,,107007,62637,,,,,,,,,,,,,,,76262
5,Deoband,GEN,Saharanpur,,86786,52732,,,,,,,,,,,,,,,93890
6,Rampur Maniharan,SC,Saharanpur,,,68516,,,,64864,,,,,,,,,,,89109
340,Bhatpar Rani,GEN,Salempur,,73200,,,,,,,,,,,,,,,,91282
341,Salempur,SC,Salempur,,65439,20657,,,,,,,,,,,,,,,82047
357,Belthara Road,SC,Salempur,,,38803,,,,,78995,,,,,,,,,,73481
359,Sikanderpur,GEN,Salempur,,75446,29604,,,,,,,,,,,,,,,63591
362,Bansdih,GEN,Salempur,,81953,,,,,,,,,,,,,,,,103305
29,Kundarki,GEN,Sambhal,,125792,42742,,,,,,,,,,,,,,,82630
30,Bilari,GEN,Sambhal,,95338,42411,,,,,,,,,,,,,,,87728
31,Chandausi,SC,Sambhal,,77523,30481,,,,,,,,,,,,,,BJP,112890
32,Asmoli,GEN,Sambhal,,111652,42512,,,,,,,,,,,,,,,86446
33,Sambhal,GEN,Sambhal,,107073,44443,,,,,,,,,,,,,,,65376
279,Alapur,SC,Sant Kabir Nagar,,74165,53061,,,,,,,,,,,,,,,64782
312,Menhdawal,GEN,Sant Kabir Nagar,,84970,50554,,,,,,90193,,,,,,,,,
313,Khalilabad,GEN,Sant Kabir Nagar,,63464,58368,,,,,,,,25247,,,,,,,76086
314,Dhanghata,SC,Sant Kabir Nagar,,,40693,,,,,72688,,,,,,,,,,83241
325,Khajani,SC,Sant Kabir Nagar,,53109,46427,,,,,,,,,,,,,,,90210
131,Katra,GEN,Shahjahanpur,,77443,,,,,,,,,,,,,,,,77800
132,Jalalabad,GEN,Shahjahanpur,,95037,,,,,,,,,,,,,,,,99609
133,Tilhar,GEN,Shahjahanpur,,89030,,,,,,,,,,,,,,,,102307
134,Powayan,SC,Shahjahanpur,,78207,,,,,,,,,,,,,,,BJP,129785
135,Shahjahanpur,GEN,Shahjahanpur,,100629,,,,,,,,,,,,,,,,109942
136,Dadraul,GEN,Shahjahanpur,,91256,,,,,,,,,,,,,,,,100957
289,Bhinga,GEN,Shrawasti,,103661,,,,,,,,,,,,,,,,90087
290,Shrawasti,GEN,Shrawasti,,97183,41026,,,,,,,,,,,,,,,98640
291,Tulsipur,GEN,Shrawasti,,42815,,,,,,,,,,,,,,51251,,87032
292,Gainsari,GEN,Shrawasti,,75345,31914,,,,,,,,,,,,,,,69508
294,Balrampur,SC,Shrawasti,,90175,,,,,,,,,,,,,,,,101146
146,Sitapur,GEN,Sitapur,,98096,,,,,,,,,,,,,,,,99349
148,Laharpur,GEN,Sitapur,,112987,,,,,,,,,,,,,,,,99832
149,Biswan,GEN,Sitapur,,95536,24086,,,,,,,,,,,,,,,106014
150,Sevata,GEN,Sitapur,,87776,,,,,,,,,,,,,,,,108057
151,Mahmoodabad,GEN,Sitapur,,86869,35304,,,,,,,,,,,,,,,92091
187,Isauli,GEN,Sultanpur,,69629,54119,,,,,,,,,,,,,,,69360
188,Sultanpur,GEN,Sultanpur,,91706,22521,,,,,,,,,,,,,,,92715
189,Sadar,GEN,Sultanpur,,69495,39920,,,,,,,,,,,,,,,85249
190,Lambhua,GEN,Sultanpur,,73466,42119,,,,,,,,,,,,,,,82999
191,Kadipur,SC,Sultanpur,,70682,46388,,,,,,,,,,,,,,,96405
162,Bangermau,GEN,Unnao,,75187,25543,,,,,,,,,,,,,,,90980
163,Safipur,SC,Unnao,,68836,19768,,,,,,,,,,,,,,BJP,102968
164,Mohan,SC,Unnao,,70112,,,,,,,,,,,,,,,BJP,113291
165,Unnao,GEN,Unnao,,95542,,,,,,,,,,,,,,,BJP,126670
166,Bhagwantnagar,GEN,Unnao,,84108,28441,,,,,,,,,,,,,,BJP,127118
167,Purwa,GEN,Unnao,,102766,,,,,,,,,,,,,,,BJP,133827
387,Rohaniya,GEN,Varanasi,,,26356,,118663,,,,,,,,,,,,,
388,Varanasi North,GEN,Varanasi,,93695,,,,,,,,,,,,,,,BJP,134471
389,Varanasi South,GEN,Varanasi,,88900,,,,,,,,,,,,,,,BJP,93695
390,Varanasi Cantt.,GEN,Varanasi,,60989,,,,,,,,,,,,,,,BJP,147833
391,Sevapuri,GEN,Varanasi,,82632,24065,,,,,,,,,,,,,,,105163
