Index,Assembly_Seat,Seat_Type,Constituency_Name,INC,SP,BSP,AD(K),AD,NCP,RLD,SBSP,NINSHAD,JDL,AAP,AIMIM,VIP,PMSP,JANADIP,Independent,Strong_Party,BJP
121,Nawabganj,GEN,Bareilly,,101876,,,,,,,,,,,,,,,,111113
124,Bareilly,GEN,Bareilly,,96694,,,,,,,,,,,,,,,,129014
125,Bareilly Cantt,GEN,Bareilly,,88163,,,,,,,,,,,,,,,BJP,98931
307,Harraiya,GEN,Basti,,69871,55697,,,,,,,,,,,,,,,88200
308,Kaptanganj,GEN,Basti,,94273,40381,,,,,,,,,,,,,,,70094
309,Rudhauli,GEN,Basti,,86360,37618,,,,,,,,24463,,,,,,,71134
310,Basti Sadar,GEN,Basti,,86029,36429,,,,,,,,,,,,,,,84250
311,Mahadewa,SC,Basti,,,40207,,,,,83350,,,,,,,,,,77855
257,Pratappur,GEN,Bhadohi,,91142,34912,,80186,,,,,,,,,,,,,
258,Handia,GEN,Bhadohi,,84417,33877,,,,,,80874,,,,,,,,,
392,Bhadohi,GEN,Bhadohi,,100738,40758,,,,,,,,,,,,,,,95853
393,Gyanpur,GEN,Bhadohi,,67215,30753,,,,,,73446,,,,,34985,,,,
394,Aurai,SC,Bhadohi,,92044,28413,,,,,,,,,,,,,,,93691
13,Purqazi,SC,Bijnor,,,27778,,,,92672,,,,,,,,,,,86140
16,Meerapur,GEN,Bijnor,,,23797,,,,107421,,,,,,,,,,,80041
22,Bijnor,GEN,Bijnor,,,52035,,,,95720,,,,,,,,,,,97165
23,Chandpur,GEN,Bijnor,,90522,37359,,,,,,,,,,,,,,,90288
45,Hastinapur,SC,Bijnor,,100275,,,,,,,,,,,,,,,,107587
65,Bulandshahr,GEN,Bulandshahr,,,,,,,101246,,,,,,,,,,,127076
66,Syana,GEN,Bulandshahr,,,36193,,,,59468,,,,,,,,,,BJP,149125
67,Anupshahr,GEN,Bulandshahr,,,47979,,,44180,,,,,,,,,,,BJP,125602
68,Debai,GEN,Bulandshahr,,60615,60615,,,,,,,,,,,,,,BJP,128640
69,Shikarpur,GEN,Bulandshahr,,,37358,,,,58172,,,,,,,,,,BJP,113855
380,Mughalsarai,GEN,Chandauli,,87295,31602,,,,,,,,,,,,,,,102216
381,Sakaldiha,GEN,Chandauli,,31602,43756,,,,,,,,,,,,,,,69667
382,Saiyadraja,GEN,Chandauli,,87891,36848,,,,,,,,,,,,,,,87891
385,Ajagara,SC,Chandauli,,,42301,,,,,91928,,,,,,,,,,101088
386,Shivpur,GEN,Chandauli,,,40601,,,,,87544,,,,,,,,,,115231
331,Tamkuhi Raj,GEN,Deoria,33496,48651,,,,,,,,,,,,,,,BJP,115123
332,Fazilnagar,GEN,Deoria,,71015,28237,,,,,,,,,,,,,,BJP,116029
337,Deoria,GEN,Deoria,,66046,,,,,,,,,,,,,,,,106701
338,Pathardeva,GEN,Deoria,,65177,33667,,,,,,,,,,,,,,,93858
339,Rampur Karkhana,GEN,Deoria,,76072,,,,,,,,,,,,,,,,90742
141,Dhaurahra,GEN,Dhaurahra,,88888,,,,,,,,,,,,,,,BJP,113498
143,Kasta,SC,Dhaurahra,,89498,,,,,,,,,,,,,,,,103315
144,Mohammdi,GEN,Dhaurahra,,86869,35304,,,,,,,,,,,,,,,92091
145,Maholi,GEN,Dhaurahra,,99868,25507,,,,,,,,,,,,,,,112040
147,Hargaon,SC,Dhaurahra,,78531,,,,,,,,,,,,,,,BJP,116691
302,Shohratgarh,GEN,Domariyaganj,20242,,22300,,71062,,,46599,,,,,,,,,,
303,Kapilvastu,SC,Domariyaganj,,92001,26662,,,,,,,,,,,,,,,122940
304,Bansi,GEN,Domariyaganj,,64256,22071,,,,,,,,,,,,,,,84596
305,Itwa,GEN,Domariyaganj,,64253,24944,,,,,,,,,,,,,,,62591
306,Domariyaganj,GEN,Domariyaganj,,85098,,,,,,,,,,,,,,,,84327
100,Kasganj,GEN,Etah,,77145,,,,,,,,,,,,,,,,123410
101,Amanpur,GEN,Etah,,53048,35372,,,,,,,,,,,,,,BJP,96377
102,Patiyali,GEN,Etah,,91958,30626,,,,,,,,,,,,,,,87957
104,Etah,GEN,Etah,,80292,26871,,,,,,,,,,,,,,,97539
105,Marhara,GEN,Etah,,83778,,,,,,,,,,,,,,,,101387
200,Etawah,GEN,Etawah,,94166,46525,,,,,,,,,,,,,,,98150
201,Bharthana,SC,Etawah,,103676,37599,,,,,,,,,,,,,,,96117
203,Dibiyapur,GEN,Etawah,,80865,31500,,,,,,,,,,,,,,,80392
204,Auraiya,SC,Etawah,,66184,36159,,,,,,,,,,,,,,,88631
207,Sikandra,GEN,Etawah,,,36033,,,,,,,,,,,,,,,89461
270,Dariyabad,GEN,Faizabad,,95817,28361,,,,,,,,,,,,,,,128219
271,Rudauli,GEN,Faizabad,,53415,52181,,,,,,,,,,,,,,,94031
273,Milkipur,SC,Faizabad,,103905,,,,,,,,,,,,,,,,90567
274,Bikapur,GEN,Faizabad,,101708,,,,,,,,,,,,,,,,107268
275,Ayodhya,GEN,Faizabad,,93424,,,,,,,,,,,,,,,,113414
103,Aliganj,GEN,Farrukhabad,,99063,,,,,,,,,,,,,,,,102873
192,Kaimganj,SC,Farrukhabad,,96409,,,114952,,,,,,,,,,,,,
193,Amritpur,GEN,Farrukhabad,,54162,,,,,,,,,,,,,,,BJP,98848
194,Farrukhabad,GEN,Farrukhabad,,72998,,,,,,,,,,,,,,,BJP,112314
195,Bhojpur,GEN,Farrukhabad,,72521,,,,,,,,,,,,,,,BJP,99979
238,Jahanabad,GEN,Fatehpur,,60311,39205,,,,,,,,,,,,,,,78503
239,Bindki,GEN,Fatehpur,,74368,23358,,78165,,,,,,,,,,,,,
240,Fatehpur,GEN,Fatehpur,,96839,,,,,,,,,,,,,,,,88238
241,Ayah Shah,GEN,Fatehpur,,58225,22045,,,,,,,,,,,,,,,71231
242,Husainganj,GEN,Fatehpur,,91884,21009,,,,,,,,,,,,,,,66703
243,Khaga,SC,Fatehpur,,78226,22115,,,,,,,,,,,,,,,83735
90,Agra Rural,SC,Fatehpur Sikri,,,60702,,,,52731,,,,,,,,,,BJP,137310
91,Fatehpur Sikri,GEN,Fatehpur Sikri,,,59641,,,,64826,,,,,,,,,,,112095
92,Kheragarh,GEN,Fatehpur Sikri,60077,,28988,,,,,,,,,,,,,,,96574
93,Fatehabad,GEN,Fatehpur Sikri,,55576,40958,,,,,,,,,,,,,,BJP,108811
94,Bah,GEN,Fatehpur Sikri,,54125,50618,,,,,,,,,,,,,,,78360
95,Tundla,SC,Firozabad,,75190,40977,,,,,,,,,,,,,,,122881
96,Jasrana,GEN,Firozabad,,108289,,,,,,,,,,,,,,,,107453
97,Firozabad,GEN,Firozabad,,79554,37643,,,,,,,,,,,,,,,112509
98,Shikohabad,GEN,Firozabad,,106279,25445,,,,,,,,,,,,,,,96951
99,Sirsaganj,GEN,Firozabad,,96224,,,,,,,,,,,,,,,,87419
61,Noida,GEN,Gautam Buddha Nagar,,62806,,,,,,,,,,,,,,,BJP,244319
62,Dadri,GEN,Gautam Buddha Nagar,,79850,40456,,,,,,,,,,,,,,BJP,218068
63,Jewar,GEN,Gautam Buddha Nagar,,,45256,,,,60890,,,,,,,,,,BJP,117205
64,Sikandrabad,GEN,Gautam Buddha Nagar,,96301,42634,,,,,,,,,,,,,,,125644
70,Khurja,SC,Gautam Buddha Nagar,,70377,45325,,,,,,,,,,,,,,BJP,137461
53,Loni,GEN,Ghaziabad,,,,,,,118734,,,,,,,,,,,127410
54,Muradnagar,GEN,Ghaziabad,,,,,,,72195,,,,,,,,,,BJP,169290
55,Sahibabad,GEN,Ghaziabad,,108047,,,,,,,,,,,,,,,BJP,322882
56,Ghaziabad,GEN,Ghaziabad,,44668,32691,,,,,,,,,,,,,,BJP,150205
58,Dhaulana,GEN,Ghaziabad,,112400,32999,,,,,,,,,,,,,,,125028
373,Jakhanian,SC,Ghazipur,,,51585,,,,,113378,,,,,,,,,,76513
374,Saidpur,SC,Ghazipur,,109711,45097,,,,,,,,,,,,,,,73076
375,Ghazipur,GEN,Ghazipur,,92472,33931,,,,,,,,,,,,,,,90780
376,Jangipur,GEN,Ghazipur,,103125,47857,,,,,,,,,,,,,,,68062
379,Zamania,GEN,Ghazipur,,94695,53303,,,,,,,,,,,,,,,72239
353,Madhuban,GEN,Ghosi,,74584,51185,,,,,,,,,,,,,,,79032
354,Ghosi,GEN,Ghosi,,108430,54248,,,,,,,,,,,,,,,86214
355,Muhammadabad-Gohna,SC,Ghosi,,94688,56350,,,,,,,,,,,,,,,68039
356,Mau,GEN,Ghosi,,,44516,,,,,124691,,,,,,,,,,86575
358,Rasara,GEN,Ghosi,,,87887,,,,,81304,,,,,,,,,,24235
293,Utraula,GEN,Gonda,,65393,,,,,,,,,,,,,,,,87162
295,Mehnaun,GEN,Gonda,,84109,,,,,,,,,,,,,,,BJP,107327
296,Gonda,GEN,Gonda,,89829,,,,,,,,,,,,,,,,96528
300,Mankapur,SC,Gonda,,63328,,,,,,,,,,,,,,,BJP,105677
301,Gaura,GEN,Gonda,31589,50571,,,,,,,,,,,,,,,,73545
320,Caimpiyarganj,GEN,Gorakhpur,,79376,,,,,,,,,,,,,,,BJP,122032
321,Pipraich,GEN,Gorakhpur,,76423,30954,,,,,,,,,,,,,,BJP,141780
322,Gorakhpur Urban,GEN,Gorakhpur,,62109,,,,,,,,,,,,,,,BJP,165499
323,Gorakhpur Rural,GEN,Gorakhpur,,102306,,,,,,,,,,,,,,,,126376
