Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,RLP,RLD,BSP,CPI(M),JJP,AAP,BTP,JSR,VM,SS,ASPKR,RSHTRJNTS,BHRTADVSIP,Independent,Strong_Party
81,Todabhim,ST,Karauli–Dholpur,68528,97389,,,,,,,,,,,,,,,INC
82,Hindaun,SC,Karauli–Dholpur,53351,91627,,,29777,,,,,,,,,,,,
83,Karauli,GEN,Karauli–Dholpur,89666,87483,,,,,,,,,,,,,,,
84,Sapotra,ST,Karauli–Dholpur,111385,67551,,,,,,,,,,,,,,,BJP
185,Keshoraipatan,SC,Kota,84454,101541,,,,,,,,,,,,,,,
186,Bundi,GEN,Kota,81293,100107,,,,,,,,,,,,,,39805,
187,Pipalda,GEN,Kota,68276,89281,,,,,,,,,,,,,,,INC
188,Sangod,GEN,Kota,93435,67849,,,,,,,,,,,,,,,BJP
189,Kota_North ,GEN,Kota,92413,94899,,,,,,,,,,,,,,,
190,Kota_South ,GEN,Kota,95393,83431,,,,,,,,,,,,,,,BJP
191,Ladpura,GEN,Kota,121248,95726,,,,,,,,,,,,,,,BJP
192,Ramganj_Mandi,SC,Kota,103504,85082,,,,,,,,,,,,,,,BJP
106,Ladnun,GEN,Nagaur,81275,97229,,,,,,,,,,,,,,,INC
107,Deedwana,GEN,Nagaur,48814,68560,,,,,,,,,,,,,,70952,
108,Jayal,SC,Nagaur,70468,68903,32799,,,,,,,,,,,,,,
109,Nagaur,GEN,Nagaur,72490,87110,,,,,,,,,,,,,,20578,
110,Khinwsar,GEN,Nagaur,77433,27763,79492,,,,,,,,,,,,,,
113,Makrana,GEN,Nagaur,67230,96544,,,,,,,,,,,,,,,
114,Parbatsar,GEN,Nagaur,81214,91530,20195,,,,,,,,,,,,,,
115,Nawan,GEN,Nagaur,106159,82211,,,,,,,,,,,,,,,BJP
117,Sojat,SC,Pali,94852,63080,,,,,,,,,,,,,,,BJP
118,Pali,GEN,Pali,87204,95092,,,,,,,,,,,,,,,
119,Marwar_Junction,GEN,Pali,99604,66583,,,,,,,,,,,,,,,BJP
120,Bali,GEN,Pali,107938,97445,,,,,,,,,,,,,,,
121,Sumerpur,GEN,Pali,104044,76662,,,,,,,,,,,,,,,BJP
125,Osian,GEN,Pali,103746,100939,,,,,,,,,,,,,,,
126,Bhopalgarh,SC,Pali,49540,86224,61926,,,,,,,,,,,,,,
131,Bilara,SC,Pali,90766,80342,20478,,,,,,,,,,,,,,
103,Beawar,GEN,Rajsamand,67623,58745,,,,,,,,,,,,,,28343,
111,Merta,SC,Rajsamand,77493,59978,56761,,,,,,,,,,,,,,
112,Degana,GEN,Rajsamand,88752,80997,,,,,,,,,,,,,,,
