Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,JDU,RJD,CPI,VIP,CPM,CPI,AIMIM,LJNSP,BLSP,JVP,BSP,HAM,Independent,Strong_Party
81,Khajauli,GEN,Jhanjharpur,83161,,,60472,,,,,,,,,,,,
82,Babubarhi,GEN,Jhanjharpur,,,77367,65879,,,,,,,,,,,,
83,Rajnagar ,SC,Jhanjharpur,89459,,,70338,,,,,,,,,,,,
84,Jhanjharpur,GEN,Jhanjharpur,94854,,,,,,,53066,,,,,,,,BJP
85,Phulparas,GEN,Jhanjharpur,,64150,75116,,,,,,,,,,,,,
86,Laukaha,GEN,Jhanjharpur,,,68288,77759,,,,,,,,,,,,
87,Nokha,GEN,Karakat,,,48018,65690,,,,,,,,,,,,
88,Dehri,GEN,Karakat,64103,,,64567,,,,,,,,,,,,
89,Karakat,GEN,Karakat,64511,,,,82700,,,,,,,,,,,
90,Goh,GEN,Karakat,45792,,,81410,,,,,,,,,,,,
91,Obra,GEN,Karakat,,,,63662,,,,,,40994,,,,,,
92,Nabinagar,GEN,Karakat,,,44822,64943,,,,,,,,,,,,
93,Katihar,GEN,Katihar,82669,,,72150,,,,,,,,,,,,
94,Kadwa,GEN,Katihar,,71267,31779,,,,,,,38865,,,,,,
95,Balrampur,GEN,Katihar,,,,,104489,,,,,,,,,,,CPI(ML)(L)
96,Pranpur,GEN,Katihar,79974,77002,,,,,,,,,,,,,,
97,Manihari ,ST,Katihar,,83032,61823,,,,,,,,,,,,,
98,Barari,GEN,Katihar,,,81752,71314,,,,,,,,,,,,
99,Simri_Bakhtiarpur,GEN,Khagaria,,,,75684,,73925,,,,,,,,,,
100,Hasanpur,GEN,Khagaria,,,59852,80991,,,,,,,,,,,,
101,Alauli ,SC,Khagaria,,,44410,47183,,,,,,,,,,,,
102,Khagaria,GEN,Khagaria,,46980,43980,,,,,,,,,,,,,
103,Beldaur,GEN,Khagaria,,51433,56541,,,,,,,31229,,,,,,
104,Parbatta,GEN,Khagaria,,,77226,76275,,,,,,,,,,,,
105,Bahadurganj,GEN,Kishanganj,,30204,,,,40640,,,85855,,,,,,,
106,Thakurganj,GEN,Kishanganj,,,,79909,,,,,,,,,,,56022,
107,Kishanganj,GEN,Kishanganj,59697,61078,,,,,,,41904,,,,,,,
108,Kochadhaman,GEN,Kishanganj,,,43750,,,,,,79893,,,,,,,
109,Amour,GEN,Kishanganj,,31863,41944,,,,,,94459,,,,,,,
110,Baisi,GEN,Kishanganj,52043,,,38254,,,,,68416,60132,,,,,,
111,Alamnagar,GEN,Madhepura,,,102517,73837,,,,,,,,,,,,
112,Bihariganj,GEN,Madhepura,,62820,81531,,,,,,,,,,,,,
113,Madhepura,GEN,Madhepura,,,64767,79839,,,,,,,,,,,,
114,Sonbarsha ,SC,Madhepura,,54212,67678,,,,,,,,,,,,,
115,Saharsa,GEN,Madhepura,103538,,,83859,,,,,,,,,,,,
116,Mahishi,GEN,Madhepura,,,66316,64686,,,,,,,,,,,,
117,Harlakhi,GEN,Madhubani,,,60393,,,,,42800,,,,,,,,
118,Benipatti,GEN,Madhubani,78862,46210,,,,,,,,,,,,,,
119,Bisfi,GEN,Madhubani,86574,,,76333,,,,,,,,,,,,
120,Madhubani,GEN,Madhubani,,,,71332,,64518,,,,,,,,,,
121,Keoti,GEN,Madhubani,76372,,,71246,,,,,,,,,,,,
122,Jale,GEN,Madhubani,87376,65580,,,,,,,,,,,,,,
123,Goriakothi,GEN,Maharajganj,87368,,,75477,,,,,,,,,,,,
124,Maharajganj,GEN,Maharajganj,,48825,46849,,,,,,,,,,,,,
125,Ekma,GEN,Maharajganj,,,39948,53875,,,,,,,,,,,,
126,Manjhi,GEN,Maharajganj,,,,,,,59324,,,,,,,,33938,
127,Baniapur,GEN,Maharajganj,,,,65194,,37405,,,,33082,,,,,,
128,Taraiya,GEN,Maharajganj,53430,,,42123,,,,,,,,,,,,
129,Munger,GEN,Munger,75573,,,74329,,,,,,,,,,,,
130,Jamalpur,GEN,Munger,,57196,52764,,,,,,,,,,,,,
131,Suryagarha,GEN,Munger,,,52717,62306,,,,,,44797,,,,,,
132,Lakhisarai,GEN,Munger,74212,63729,,,,,,,,,,,,,,
133,Mokama,GEN,Munger,63003,,,79744,,,,,,,,,,,,RJD
134,Barh,GEN,Munger,49327,39087,,,,,,,,,,,,,38406,
135,Gaighat,GEN,Muzaffarpur,,,52212,59778,,,,,,36851,,,,,,
136,Aurai,GEN,Muzaffarpur,90479,,,,42613,,,,,,,,,,,BJP
137,Minapur,GEN,Muzaffarpur,,,44506,60018,,,,,,43496,,,,,,
138,Bochahan ,SC,Muzaffarpur,45909,,,82562,,,,,,,,,,,,
139,Sakra ,SC,Muzaffarpur,,65728,67265,,,,,,,,,,,,,
140,Kurhani,GEN,Muzaffarpur,77837,,,78549,,,,,,,,,,,,
141,Muzaffarpur,GEN,Muzaffarpur,75545,81871,,,,,,,,,,,,,,
142,Asthawan,GEN,Nalanda,,,51525,39925,,,,,,,,,,,,
143,Biharsharif,GEN,Nalanda,81888,,,66786,,,,,,,,,,,,
144,Rajgir ,SC,Nalanda,,51143,67191,,,,,,,,,,,,,
145,Islampur,GEN,Nalanda,,,64390,68088,,,,,,,,,,,,
146,Hilsa,GEN,Nalanda,,,67848,61836,,,,,,,,,,,,
147,Nalanda,GEN,Nalanda,,,66066,,,,,,,,,49989,,,,
148,Harnaut,GEN,Nalanda,,,65404,,,,,,,38163,,,,,,
149,Barbigha,GEN,Nawada,,39765,39878,,,,,,,,,,,,,
150,Rajauli,SC,Nawada,57391,,,69984,,,,,,,,,,,,
151,Hisua,GEN,Nawada,77839,94930,,,,,,,,,,,,,,
152,Nawada,GEN,Nawada,,,34567,721435,,,,,,,,,,,46125,
153,Gobindpur,GEN,Nawada,,,46483,79557,,,,,,,,,,,,RJD
154,Warsaliganj,GEN,Nawada,62451,53421,,,,,,,,,,,,,39363,
155,Nautan,GEN,Paschim_Champaran,78657,52761,,,,,,,,,,,,,,
156,Chanpatia,GEN,Paschim_Champaran,83828,70359,,,,,,,,,,,,,,
157,Bettiah,GEN,Paschim_Champaran,84496,66417,,,,,,,,,,,,,,BJP
158,Raxaul,GEN,Paschim_Champaran,80979,44056,,,,,,,,,,,,,,
159,Sugauli,GEN,Paschim_Champaran,,,,65267,,61820,,,,,,,,,,
160,Narkatiya,GEN,Paschim_Champaran,,,57771,85562,,,,,,,,,,,,
161,Danapur,GEN,Pataliputra,73971,,,89895,,,,,,,,,,,,
162,Maner,GEN,Pataliputra,61306,,,94223,,,,,,,,,,,,
163,Phulwari ,SC,Pataliputra,,,77267,,91124,,,,,,,,,,,
164,Masaurhi ,SC,Pataliputra,,,66469,98696,,,,,,,,,,,,RJD
165,Paliganj,GEN,Pataliputra,,,37002,,67917,,,,,,,,,,,
166,Bikram,GEN,Pataliputra,,86177,,,,,,,,,,,,,50717,
167,Bakhtiarpur,GEN,Patna_Sahib,68811,,,89483,,,,,,,,,,,,RJD
168,Digha,GEN,Patna_Sahib,97044,,,,50971,,,,,,,,,,,
169,Bankipur,GEN,Patna_Sahib,83068,44032,,,,,,,,,,,,,,BJP
170,Kumhrar,GEN,Patna_Sahib,81400,,,54937,,,,,,,,,,,,
171,Patna_Sahib,GEN,Patna_Sahib,97692,79392,,,,,,,,,,,,,,BJP
172,Fatuha,GEN,Patna_Sahib,66399,,,85769,,,,,,,,,,,,RJD
173,Kasba,GEN,Purnia,,77410,,,,,,,,,,,,,,
174,Banmankhi ,SC,Purnia,93594,,,65851,,,,,,,,,,,,BJP
175,Rupauli,GEN,Purnia,,,64324,,,,,41963,,44994,,,,,,
176,Dhamdaha,GEN,Purnia,,,97057,63463,,,,,,,,,,,,
177,Purnia,GEN,Purnia,97757,65603,,,,,,,,,,,,,,
178,Korha ,SC,Purnia,104625,,,,,,,,,,,,,,,BJP
179,Harsidhi ,SC,Purvi_Champaran,84615,,,68930,,,,,,,,,,,,
180,Govindganj,GEN,Purvi_Champaran,65716,37936,,,,,,,,,,,,,,
181,Kesaria,GEN,Purvi_Champaran,,,40219,30992,,,,,,,,,,,,
